mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.579321193695069,0.2115431743804721,0.261536979675293,0.10628577770772,0.8,800,5,6,0.1,0.0,0.8,"{'subsample': 0.8, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.8}",0.6982081822344853,0.6850190615810821,0.6879250316560107,0.6935570998092385,0.6748883650583419,0.6879195480678317,0.007948113804024737,3
4.15583062171936,0.26384809858883607,0.06422638893127441,0.009975026083157963,0.9,300,5,5,0.03,0.3,0.7,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.6341620353616526,0.622571660520042,0.604471706613226,0.6249702533943449,0.614088205038686,0.6200527721855902,0.010079120922694841,65
11.6148286819458,0.3102819873101248,0.20181045532226563,0.019239367414475007,0.7,800,3,6,0.1,0.1,0.6,"{'subsample': 0.7, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.6}",0.6951104480765469,0.6815045447554594,0.6887415431305993,0.6824374406760871,0.6711439349531333,0.6837875823183653,0.007995573505023166,9
5.444208574295044,0.24640555492826077,0.08712663650512695,0.004984300609231648,0.7,300,3,6,0.05,0.0,0.8,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",0.6809392978962866,0.6503399108199386,0.6574085227257049,0.662628522251815,0.6522235902007972,0.6607079687789085,0.010985106767375886,27
3.7469467639923097,0.1610679962718971,0.054673051834106444,0.007580462424346204,0.7,500,10,3,0.01,0.1,0.6,"{'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.6}",0.5550520147913224,0.5585765768424499,0.5391631126007511,0.5229941223778516,0.5417115758529721,0.5434994804930694,0.012674780345029673,100
6.139927387237549,0.19364863481434563,0.10317459106445312,0.007804107392145417,0.8,800,10,3,0.01,0.3,0.8,"{'subsample': 0.8, 'n_estimators': 800, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.5665584971054705,0.5739433032108766,0.5547642122811443,0.5508897343629231,0.5550636226584427,0.5602438739237714,0.008624505209375126,97
5.39556131362915,0.09331570999754553,0.09467940330505371,0.0227892470664845,0.8,300,10,6,0.01,0.0,0.6,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6}",0.6191274072490278,0.6098753064657643,0.5906585218003869,0.6078609629305562,0.5985676627908195,0.605217972247311,0.00978113241935329,77
6.8331677436828615,0.08668011182154253,0.10949201583862304,0.037090440333567704,0.7,500,5,5,0.01,0.1,0.7,"{'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.6131368334507598,0.6089044214162702,0.5823730512861249,0.605636590213429,0.5929819009266827,0.6006065594586534,0.01132925175627875,78
6.110817527770996,0.1381785589900292,0.11476798057556152,0.008365749914325392,0.8,500,3,5,0.1,0.0,0.7,"{'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.7}",0.6889654995660538,0.6735992617960668,0.6775950171763934,0.6791999856955944,0.6649349505409198,0.6768589429550056,0.00781534536278835,17
4.3239682674407955,0.12805676596577464,0.06463780403137206,0.010336095272079387,0.8,300,3,5,0.03,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.6427808329438052,0.622978941806771,0.6046063792466579,0.6272984696662127,0.6192752123920953,0.6233879672111085,0.012338600984121992,60
